kepid,kepoi_name,koi_disposition_pred,koi_disposition_pred_value
11068630,K07404.01,CONFIRMED,0.8108775019645691
11092783,K07408.01,CONFIRMED,0.5811938643455505
12454800,K07534.01,FALSE POSITIVE,0.0020352022256702185
12458817,K07535.01,FALSE POSITIVE,0.0005508326576091349
12519942,K07539.01,FALSE POSITIVE,0.004557908978313208
12555616,K07540.01,FALSE POSITIVE,0.01630249433219433
7100673,K04032.05,CONFIRMED,0.9974403381347656
3937814,K04084.02,FALSE POSITIVE,0.004127012565732002
3937814,K04084.03,CONFIRMED,0.9944843649864197
4548098,K04157.02,FALSE POSITIVE,2.4451293938909657e-05
3733638,K06353.01,FALSE POSITIVE,0.3328896462917328
3748855,K06355.01,FALSE POSITIVE,0.43647655844688416
3748855,K06355.02,FALSE POSITIVE,0.0026503782719373703
3765692,K06358.01,FALSE POSITIVE,0.009075268171727657
5021432,K06489.01,FALSE POSITIVE,0.0010088894050568342
5633259,K06610.01,FALSE POSITIVE,0.0019969542045146227
5702770,K06617.01,CONFIRMED,0.7608057260513306
6614748,K06745.01,FALSE POSITIVE,0.0005635708221234381
6628926,K06746.01,FALSE POSITIVE,0.0019615963101387024
6664842,K06750.01,CONFIRMED,0.9785413146018982
6665064,K06751.01,CONFIRMED,0.979897677898407
6670610,K06752.01,FALSE POSITIVE,0.027377402409911156
7447895,K06878.01,FALSE POSITIVE,0.025147097185254097
7461521,K06882.01,FALSE POSITIVE,0.03403357416391373
7537660,K06884.01,FALSE POSITIVE,0.009040556848049164
9203154,K07144.01,FALSE POSITIVE,0.07116609811782837
9221627,K07148.01,FALSE POSITIVE,0.04435044154524803
10053138,K07279.01,CONFIRMED,0.9230647087097168
10066755,K07281.01,FALSE POSITIVE,0.003052052576094866
10070479,K07282.01,FALSE POSITIVE,0.0005854799528606236
7119481,K00566.02,CONFIRMED,0.84946608543396
11182260,K07415.01,CONFIRMED,0.542596697807312
11187972,K07416.01,CONFIRMED,0.8099944591522217
8773015,K04301.02,FALSE POSITIVE,0.21434132754802704
9883606,K04383.02,CONFIRMED,0.7641662955284119
9836563,K04421.02,FALSE POSITIVE,0.043364476412534714
6508221,K00416.04,FALSE POSITIVE,0.005091321188956499
9100953,K04500.03,CONFIRMED,0.9243094325065613
10079420,K07607.01,FALSE POSITIVE,0.006311074364930391
11559304,K07617.01,FALSE POSITIVE,0.22787289321422577
4735826,K03184.03,CONFIRMED,0.9915953278541565
5003670,K04524.03,CONFIRMED,0.9921825528144836
8973285,K04782.02,CONFIRMED,0.5062728524208069
2861126,K04957.02,CONFIRMED,0.9738527536392212
8105398,K05475.02,CONFIRMED,0.8994013071060181
4758350,K06447.02,FALSE POSITIVE,0.004439428448677063
4862625,K06464.03,FALSE POSITIVE,0.24795760214328766
3965201,K07546.01,FALSE POSITIVE,0.0023482241667807102
4862924,K07554.01,FALSE POSITIVE,0.0005553285591304302
5271090,K07558.01,FALSE POSITIVE,0.0010757825803011656
5444276,K07559.01,FALSE POSITIVE,0.00197342480532825
5878506,K07562.01,FALSE POSITIVE,0.002298871986567974
6443274,K07567.01,FALSE POSITIVE,0.003273978130891919
5602588,K02369.03,CONFIRMED,0.661226749420166
6876575,K07572.01,FALSE POSITIVE,1.6042316985931393e-07
8096395,K07587.01,CONFIRMED,0.8739061951637268
8168509,K07589.01,FALSE POSITIVE,0.0025513286236673594
10397751,K02859.05,CONFIRMED,0.985797643661499
8297319,K07591.01,FALSE POSITIVE,0.0013555778423324227
8423344,K07592.01,FALSE POSITIVE,0.0010520156938582659
8444868,K07593.01,FALSE POSITIVE,0.001280204625800252
8682094,K07596.01,FALSE POSITIVE,0.005075982306152582
8677057,K07903.01,FALSE POSITIVE,0.22421002388000488
8702537,K07905.01,FALSE POSITIVE,0.16857749223709106
9043947,K07920.01,FALSE POSITIVE,0.025931185111403465
8880317,K07915.01,FALSE POSITIVE,5.72530911568947e-10
10253977,K08201.01,FALSE POSITIVE,0.0003259077784605324
10351947,K08205.01,FALSE POSITIVE,0.346596896648407
10160922,K07990.01,FALSE POSITIVE,0.031016623601317406
10198225,K07991.01,FALSE POSITIVE,0.0703079029917717
10214341,K07992.01,FALSE POSITIVE,0.0008416945347562432
10515564,K08211.01,FALSE POSITIVE,0.038964174687862396
10321972,K07998.01,FALSE POSITIVE,0.004125707782804966
10331279,K08000.01,FALSE POSITIVE,0.0022571340668946505
5802205,K08107.01,FALSE POSITIVE,0.0020507231820374727
5858919,K08109.01,FALSE POSITIVE,2.756269896053709e-05
10907307,K08217.01,FALSE POSITIVE,0.05972500890493393
10403228,K08007.01,FALSE POSITIVE,0.010418829508125782
10407191,K08011.01,FALSE POSITIVE,0.0007687730249017477
5955197,K08111.01,CONFIRMED,0.6862640976905823
6114140,K08117.01,FALSE POSITIVE,0.0003328437451273203
11338091,K08221.01,FALSE POSITIVE,0.0013605833519250154
11446424,K08223.01,FALSE POSITIVE,0.013981311582028866
10452252,K08012.01,FALSE POSITIVE,0.00821372028440237
6507334,K08122.01,FALSE POSITIVE,0.00564851937815547
11872364,K08232.01,CONFIRMED,0.8243973851203918
12554485,K08238.01,FALSE POSITIVE,0.004231382627040148
10536241,K08026.01,CONFIRMED,0.578103244304657
10790401,K08031.01,FALSE POSITIVE,0.01024729572236538
12647757,K08241.01,FALSE POSITIVE,0.0017150636995211244
3629119,K08242.01,FALSE POSITIVE,0.0014611572260037065
4446859,K08246.01,FALSE POSITIVE,0.0008538357797078788
9084569,K07923.01,FALSE POSITIVE,0.03053114376962185
9087580,K07924.01,FALSE POSITIVE,0.06843355298042297
9099607,K07925.01,FALSE POSITIVE,0.09689322859048843
10844823,K08033.01,FALSE POSITIVE,0.0009619311313144863
10862759,K08035.01,CONFIRMED,0.799144983291626
10920281,K08037.01,FALSE POSITIVE,0.0770263746380806
